"model","enzyme","Rsquared","AIC","BIC"
"Hinshelwood","HSD001",0.0081778985387202,13.160854706262,12.1196520524023
"Hinshelwood","GTP001",2.28713462760988e-05,26.4926542390757,26.8898619474749
"Hinshelwood","MGT001",4.93272208690332e-06,10.9096202209253,11.8957431076064
"Hinshelwood","PEL001",0.548199103818704,20.2966943655681,22.7212276145081
"Hinshelwood","YEX001",0.849216218806171,0.614058380381289,1.01126608878047
"Hinshelwood","YEW001",0.990561491718199,-17.677197944202,-17.2799902358028
"Hinshelwood","ADC001",0.854747191333509,-0.792911047868282,1.63162220107172
"Hinshelwood","LIC001",0.717229027533645,7.51062780669138,7.90783551509056
"Hinshelwood","GAL001",0.951693767983061,-11.1273738839548,-11.3978231386782
"Hinshelwood","RHI001",0.852788719988625,-5.17550886581868,-4.7783011574195
"Hinshelwood","QAP001",0.800491954122039,4.74925189727744,5.14645960567662
"Hinshelwood","LIV001",-6.97722475746509e-05,17.8987328436393,17.6282835889158
"Hinshelwood","LID001",0.750307951626757,17.6855795040384,18.0827872124376
"Hinshelwood","MAA001",0.000173068765377704,40.4315303080872,41.4176531947682
"Hinshelwood","MAC001",0.653504306498541,32.4880268257588,33.4741497124399
"Hinshelwood","LIN001",0.650321248407767,20.0417354415203,19.0005327876605
"Hinshelwood","IPD001",0.925726613375071,13.8301774426038,12.7889747887441
"Hinshelwood","NAD002",0.960601487798907,-7.2539873953205,-8.29519004918023
"Hinshelwood","ALP0001",0.931946338793684,-0.0750141971322158,0.911108689548882
"Hinshelwood","ALP002",0.662709299548297,33.1619452177235,36.3572318657998
"Hinshelwood","PHY001",0.977364844059387,-11.863025739244,-11.4658180308448
"Hinshelwood","RUB001",0.858401142778525,4.41351524530858,3.37231259144885
"Hinshelwood","MAI001",-0.000155617139325326,36.0991859711018,37.0853088577829
"Hinshelwood","GGT001",0.793400406103651,2.79833577410156,1.75713312024183
"Hinshelwood","ASN001",0.933826138925528,9.46859110124419,7.51578066341469
"Hinshelwood","STH001",0.948981927932938,-31.0643080687316,-30.0781851820506
"Hinshelwood","GLU002",-2.92451415306871e-07,33.5834149465336,32.5422122926739
"Hinshelwood","LIP001",-1.53322214291318e-05,20.216803591435,20.6140112998342
"Hinshelwood","GAL002",0.952293641498865,-2.65695585304464,-4.60976629087414
"Hinshelwood","LAR001",0.00117159806139666,10.1755598045303,8.22274936670084
"Hinshelwood","AMA002",0.874416837110038,-1.8416235296026,-2.11207278432604
"Hinshelwood","RNR001",0.899018440029403,7.95063802951843,9.94011439351029
"Hinshelwood","HMT001",-2.54599550686407e-06,31.1829701809416,32.1690930676227
"Hinshelwood","NTR001",-1.1509252711539e-05,24.9416511110047,27.7663978983124
"Johnson-Lewin","ADH001",0.972073649264689,-9.94606738353063,-8.95994449684953
"Johnson-Lewin","HSD001",0.984439298691714,-11.7679163079613,-12.809118961821
"Johnson-Lewin","GTP001",0.992725729115496,-12.8944563321294,-12.4972486237302
"Johnson-Lewin","MGT001",0.954250882310208,-16.8515803407069,-15.8654574540258
"Johnson-Lewin","NAD001",0.991392270812209,7.27202726616905,7.66923497456823
"Johnson-Lewin","ARL001",0.782884691500906,29.27350038199,28.2322977281303
"Johnson-Lewin","PEL001",0.963183616067546,-9.79088914595135,-7.36635589701135
"Johnson-Lewin","YEX001",0.86989713745904,-0.566113700638962,-0.168905992239782
"Johnson-Lewin","YEW001",0.992853528162548,-19.9026312327045,-19.5054235243054
"Johnson-Lewin","BSA001",0.913135384053096,36.1382961881734,39.6785471936845
"Johnson-Lewin","ADC001",0.971617322600042,-20.3852717353125,-17.9607384863725
"Johnson-Lewin","DAL001",0.88544009447572,8.88626835167838,7.84506569781866
"Johnson-Lewin","YCN001",0.967565645317693,1.47421630481218,1.87142401321136
"Johnson-Lewin","LIC001",0.931410575254032,-3.82136355969505,-3.42415585129588
"Johnson-Lewin","GAL001",0.972975662050497,-15.1931328825257,-15.4635821372492
"Johnson-Lewin","RHI001",0.898115859366802,-8.11976920444229,-7.72256149604311
"Johnson-Lewin","GLU001",0.997007629709675,-12.6169091927397,-12.2197014843405
"Johnson-Lewin","ABF001",0.99935692808711,-22.3612824285558,-21.9640747201566
"Johnson-Lewin","QAP001",0.997470066534986,-30.1920405967388,-29.7948328883397
"Johnson-Lewin","LIV001",0.957477764568922,-4.20585261782393,-4.47630187254737
"Johnson-Lewin","LID001",0.981600827235281,-3.17780167110471,-2.78059396270553
"Johnson-Lewin","MAA001",0.871483931404718,21.9677760465039,22.953898933185
"Johnson-Lewin","MAC001",0.913957357070272,19.9507805083236,20.9369033950046
"Johnson-Lewin","LIU001",0.984840873011478,3.55690787198362,5.06983333695385
"Johnson-Lewin","LIN001",0.907986170114911,12.0312795026248,10.9900768487651
"Johnson-Lewin","IPD001",0.9972564234687,-5.96076451845369,-7.00196717231342
"Johnson-Lewin","NAD002",0.984970671968431,-13.0363347547824,-14.0775374086422
"Johnson-Lewin","MAE001",0.995547470443738,-35.1589807484107,-33.1695043844189
"Johnson-Lewin","GAP001",0.884911199716973,11.418069431851,11.1476201771276
"Johnson-Lewin","AZO001",0.937508879158478,19.8459776224775,23.7089212336764
"Johnson-Lewin","ALP0001",0.961187920024723,-5.1290991216885,-4.1429762350074
"Johnson-Lewin","ALP002",0.903591154659063,15.6290841786539,18.8243708267302
"Johnson-Lewin","GUS001",0.99295872223465,7.14982753894706,8.6627530039173
"Johnson-Lewin","PHY001",0.972210957077295,-10.2219254727624,-9.82471776436324
"Johnson-Lewin","RUB001",0.960350525947106,-3.22400731974254,-4.26520997360226
"Johnson-Lewin","GDH001",0.992867992422911,-19.1814018415141,-15.6411508360031
"Johnson-Lewin","MAI001",0.954630374529772,8.26157356266499,9.24769644934609
"Johnson-Lewin","HPA001",0.996167247199131,-5.63181542350915,-5.90226467823258
"Johnson-Lewin","GGT001",0.914817891046825,-2.51761123425742,-3.55881388811715
"Johnson-Lewin","ASN001",0.988616679094022,0.667909443647977,-1.28490099418152
"Johnson-Lewin","GAC001",NA,Inf,Inf
"Johnson-Lewin","GAD001",0.93823615763062,0.0531363190441372,-0.217312935679297
