"model","enzyme","Rsquared","AIC","BIC"
"Hinshelwood","MUM9919",0.926410674633448,-9.02213180059455,-8.03600891391345
"Hinshelwood","MUM9922",0.58030419563351,6.21667577866429,7.20279866534539
"Hinshelwood","MUM9923",0.964623764346398,-19.1711735430596,-18.1850506563785
"Hinshelwood","MUM9920",0.687101866196576,3.44718836877421,4.43331125545531
"Hinshelwood","MUM9924",0.664955951200412,3.87241385235944,4.85853673904054
"Hinshelwood","GVT6",0.406600390847134,7.57244378799255,4.503915593592
"Hinshelwood","CBS109.7",0.121475512633764,42.6573880767925,43.6435109634736
"Hinshelwood","T229",0.735495155803313,5.09610792851465,2.02757973411411
"Hinshelwood","Z135",0.362380269507025,13.5235889801578,10.4550607857573
"Hinshelwood","UMB72.01 ",0.230685605518194,9.32150910069384,7.36869866286434
"Hinshelwood","434.99",-4.01474502531585e-08,36.7421665921279,38.2550920570981
"Hinshelwood","453.99",0.291693004134021,11.0642280172087,12.5771534821789
"Johnson-Lewin","MTD2245",NA,Inf,Inf
"Johnson-Lewin","MTD2251",NA,Inf,Inf
"Johnson-Lewin","MTD2252",NA,Inf,Inf
"Johnson-Lewin","MTD2262",0.931455226527776,10.1592988366724,11.1454217233535
"Johnson-Lewin","MTD2263",0.961968166325882,14.487882379742,15.4740052664231
"Johnson-Lewin","MTD2283",0.924714142979197,26.2717414136538,27.784666878624
"Johnson-Lewin","MUM0001",0.990603360781725,-26.9093304564606,-25.9232075697795
"Johnson-Lewin","MUM9919",0.994549833552596,-32.4478162743624,-31.4616933876813
"Johnson-Lewin","MUM9922",0.99088608054099,-28.2508700815863,-27.2647471949052
"Johnson-Lewin","MUM9923",0.992661558039675,-33.3273971344937,-32.3412742478125
"Johnson-Lewin","MUM9920",0.984274700285482,-23.4682730500207,-22.4821501633396
"Johnson-Lewin","MUM9924",0.985040655201053,-24.1079186843283,-23.1217957976472
"Johnson-Lewin","GVT6",1,-Inf,-Inf
"Johnson-Lewin","TV298",1,-Inf,-Inf
"Johnson-Lewin","GYCA ",0.939629856029524,14.9245213096008,16.437446774571
"Johnson-Lewin","M12",0.88111217907885,14.2559478842047,15.2420707708858
"Johnson-Lewin","CBS109.7",0.126390925778699,42.606890973911,43.5930138605921
"Johnson-Lewin","YP1 ",0.937868952616476,4.53506571144618,6.04799117641642
"Johnson-Lewin","206",0.902446544472406,21.3823672121949,21.1119179574715
"Johnson-Lewin","V90",0.938498598676321,17.4787277979098,18.4648506845909
"Johnson-Lewin","V51",0.912127716273129,17.4375091169401,16.3963064630804
"Johnson-Lewin","ARSEF3458",0.905406673288087,4.64877560020284,1.58024740580229
"Johnson-Lewin","ARSEF4491",0.978066451980293,2.88410850725476,-0.184419687145789
"Johnson-Lewin","ARSEF4461",0.814729575224851,9.52895147334419,6.46042327894364
"Johnson-Lewin","Z4",0.964527486953026,2.06643719978381,-1.00209099461674
"Johnson-Lewin","Z11",0.915064791935518,7.85306955933952,4.78454136493897
"Johnson-Lewin","T229",0.831233252951892,3.29873993219938,0.230211737798829
"Johnson-Lewin","T314",0.90442096404445,10.2518668920752,7.18333869767463
"Johnson-Lewin","Z43",0.875793040418443,13.1675030876335,10.098974893233
"Johnson-Lewin","Z143",0.946946188018189,8.0453422219028,4.97681402750226
"Johnson-Lewin","T130",0.746323146075812,20.0263623739629,16.9578341795624
"Johnson-Lewin","ARSEF2859",0.934602855920173,2.03093224478485,-1.0375959496157
"Johnson-Lewin","Z25",1,-250.554223390607,-253.622751585007
"Johnson-Lewin","Z26",0.999924030366559,-24.5552215742099,-27.6237497686104
"Johnson-Lewin","TT5",0.978817917846447,-2.39900864702763,-5.46753684142818
"Johnson-Lewin","T80",0.999994250514407,-34.4236964308546,-37.4922246252551
"Johnson-Lewin","HRI1.72",1,-253.528535527354,-256.597063721755
"Johnson-Lewin","Mycotech GHA",0.780972480389316,12.3769737983848,9.30844560398425
"Johnson-Lewin","ARSEF2879",0.994410820969775,-5.39100022702559,-8.45952842142614
"Johnson-Lewin","Z135",0.995200508191701,-6.03333915143512,-9.10186734583566
"Johnson-Lewin","T195",0.857594043277875,9.74967449856639,6.68114630416584
"Johnson-Lewin","Z139",0.953460860575514,1.63821967651059,-1.43030851788996
"Johnson-Lewin","IMI322663",NA,Inf,Inf
"Johnson-Lewin","",0.334243869812053,156.553014110706,165.120874444227
"Johnson-Lewin","CC359B",0.991890461396748,-9.75686140600154,-11.709671843831
"Johnson-Lewin","ARSEF7028",0.906869807678893,23.4342062204497,23.8314139288489
"Johnson-Lewin","UMB72.01 ",0.981294394782455,-9.26187339046728,-11.2146838282968
"Johnson-Lewin","UMB135.01 ",0.698775585036584,12.3502885018067,10.3974780639772
"Johnson-Lewin","UMB108.01 ",0.694459239792131,9.58700011600799,7.6341896781785
"Johnson-Lewin","UMB310.06 ",0.90579729452333,0.315417329207436,-1.63739310862206
"Johnson-Lewin","432.99",0.983482886959971,-0.907432972031817,0.605492492938414
"Johnson-Lewin","434.99",0.937009525805856,9.09444851774823,10.6073739827185
"Johnson-Lewin","455.99",0.992875238817801,-21.976312992565,-20.4633875275948
"Johnson-Lewin","34.79",0.975974566663235,-6.73142241329775,-5.21849694832752
"Johnson-Lewin","51.81",0.885976202466343,16.1691626954836,17.6820881604538
"Johnson-Lewin","73.82",0.997508021215057,-32.1148372043269,-30.6019117393567
"Johnson-Lewin","71.82",0.984092193451609,-14.8974614454723,-13.3845359805021
"Johnson-Lewin","74.82",0.914571230953239,10.3406257180786,11.8535511830488
"Johnson-Lewin","75.82",0.97659643694759,-4.62900366780841,-3.11607820283818
"Johnson-Lewin","77.82",0.909583087838949,-1.4712978490682,0.0416276159020335
"Johnson-Lewin","12.74",0.940787815789079,-1.51120623613476,0.00171922883546749
"Johnson-Lewin","17.76",0.971292646432147,15.5276874055694,17.0406128705396
"Johnson-Lewin","19.79",0.998831136415134,-21.9274071177184,-20.4144816527482
"Johnson-Lewin","450.99",0.99432711036227,-8.10018756749052,-6.58726210252029
