"model","enzyme","Rsquared","AIC","BIC"
"Hinshelwood",3,0.49975057084565,-14.2473003160013,-12.7343748510311
"Hinshelwood",26,0.276901032539212,21.9186630010192,20.8774603471595
"Hinshelwood",35,0.690070231571988,18.0637033013479,18.4609110097471
"Hinshelwood",385,0.988855433959057,-14.7819924327867,-15.8231950866464
"Hinshelwood",388,0.972235575733781,-14.4271133115425,-15.4683159654022
"Hinshelwood",391,0.990599280143901,-16.6624017754541,-17.7036044293139
"Hinshelwood",394,0.993739017737157,-20.230596107779,-21.2717987616387
"Hinshelwood",397,0.891344249318512,0.622256748356044,0.351807493632609
"Hinshelwood",400,0.897812483964659,0.428005219633203,0.157555964909768
"Hinshelwood",403,0.918105656859951,-3.69919434179662,-3.96964359652005
"Hinshelwood",406,0.920109540510718,-1.80125844448528,-2.07170769920872
"Hinshelwood",415,0.958711062283626,-7.73984693634879,-8.78104959020852
"Hinshelwood",418,0.966042377714705,-9.6863692047213,-10.727571858581
"Hinshelwood",421,0.904948073570824,-8.15200526082214,-9.19320791468186
"Johnson-Lewin",3,0.687015517394105,-18.9368325097037,-17.4239070447335
"Johnson-Lewin",4,0.992696533364871,-18.2226616896861,-18.4931109444096
"Johnson-Lewin",26,0.278111915021669,21.9086071370818,20.867404483222
"Johnson-Lewin",29,0.792057189703094,8.78117010203288,9.17837781043206
"Johnson-Lewin",35,0.626902482603203,19.5476561642452,19.9448638726444
"Johnson-Lewin",38,0.803115966018337,16.988607511947,17.3858152203462
"Johnson-Lewin",41,0.856464809725772,16.0503012435489,16.4475089519481
"Johnson-Lewin",44,0.645813151413811,13.421053418322,13.1506041635985
"Johnson-Lewin",144,0.996858738702056,-24.4236350143489,-24.6940842690724
"Johnson-Lewin",146,0.988947240468381,-13.0452230894491,-13.3156723441725
"Johnson-Lewin",148,0.972758227892892,5.06574300120353,5.4629507096027
"Johnson-Lewin",304,0.992564202160584,-11.3071788511246,-13.2599892889541
"Johnson-Lewin",305,0.996151029316279,-12.0951294946813,-13.136332148541
"Johnson-Lewin",344,0.599253898891537,0.654131482854497,1.6402543695356
"Johnson-Lewin",385,0.991691626968919,-16.5441217725382,-17.5853244263979
"Johnson-Lewin",388,0.847878108512605,-4.22155359971216,-5.26275625357189
"Johnson-Lewin",391,0.992385511319756,-17.9268023499141,-18.9680050037738
"Johnson-Lewin",394,0.992811651137621,-19.4018496001286,-20.4430522539883
"Johnson-Lewin",397,0.989596222462704,-15.799852933694,-16.0703021884174
"Johnson-Lewin",400,0.974615142995919,-9.32059169937917,-9.5910409541026
"Johnson-Lewin",403,0.959492646589953,-8.6268191056267,-8.89726836035013
"Johnson-Lewin",406,0.904522336654189,-0.553607225257753,-0.824056479981188
"Johnson-Lewin",415,0.962718949625183,-8.35250362119186,-9.39370627505159
"Johnson-Lewin",418,0.95270212139356,-7.69825659933216,-8.73945925319188
"Johnson-Lewin",421,0.912399817235012,-8.64184677261393,-9.68304942647366
"Johnson-Lewin",483,0.749238096707914,11.7489964474021,9.79618600957264
"Johnson-Lewin",843,0.9642551058357,-18.915099030594,-15.7198123825177
"Johnson-Lewin",844,0.947725345792616,-8.3538729273387,-5.1585862792624
"Johnson-Lewin",845,0.928944572378818,12.6434672394958,15.8387538875721
"Johnson-Lewin",846,0.890694864546888,25.9279154846576,29.1232021327339
"extended_Johnson-Lewin",146,0.988947240468381,-11.0452230894486,-11.3697621951167
"extended_Johnson-Lewin",148,0.972758227607054,7.06574308514452,7.54239233522353
"extended_Johnson-Lewin",304,0.982123187336509,-4.92118580895042,-7.26455833434582
"extended_Johnson-Lewin",305,0.961778615167904,3.67840698726814,2.42896380263647
"extended_Johnson-Lewin",344,0.599745500866523,2.6430842543529,3.82643171837022
"extended_Johnson-Lewin",403,0.0810423180870233,15.2254767444503,14.9009376387822
"extended_Johnson-Lewin",483,0.986315545754807,-0.792220725374408,-3.13559325076981
"extended_Johnson-Lewin",846,0.566156270362283,47.2274897687083,51.0618337463998
"simplified_Johnson_Lewin",3,0.68673377816393,-18.9278348591722,-17.414909394202
"simplified_Johnson_Lewin",4,0.909090565350767,-0.572058997167217,-0.842508251890651
"simplified_Johnson_Lewin",26,0.276876968258337,21.9188626739399,20.8776600200802
"simplified_Johnson_Lewin",29,0.792103543790557,8.77938656338652,9.1765942717857
"simplified_Johnson_Lewin",35,0.627284180730999,19.5394675595667,19.9366752679659
"simplified_Johnson_Lewin",38,0.798056065683586,17.1916091965,17.5888169048992
"simplified_Johnson_Lewin",41,0.856563044637793,16.044824200994,16.4420319093932
"simplified_Johnson_Lewin",44,0.637868004634441,13.5763426691973,13.3058934144739
"simplified_Johnson_Lewin",144,0.996839598032054,-24.3811112880247,-24.6515605427482
"simplified_Johnson_Lewin",146,0.988967396540301,-13.0580001076641,-13.3284493623875
"simplified_Johnson_Lewin",148,0.972735950802804,5.07228236622411,5.46949007462329
"simplified_Johnson_Lewin",304,0.992486225101046,-11.2550183191271,-13.2078287569566
"simplified_Johnson_Lewin",305,0.935827688759252,4.78746693073526,3.74626427687554
"simplified_Johnson_Lewin",344,0.594482908709272,0.760646112903473,1.74676899958457
"simplified_Johnson_Lewin",385,0.991707893243774,-16.5558801893567,-17.5970828432165
"simplified_Johnson_Lewin",391,0.99248805706093,-18.0081545006932,-19.0493571545529
"simplified_Johnson_Lewin",394,0.992833777551105,-19.4203466465634,-20.4615493004231
"simplified_Johnson_Lewin",397,0.989766803574509,-15.9155767777207,-16.1860260324441
"simplified_Johnson_Lewin",400,0.974839890822648,-9.38284300843635,-9.65329226315978
"simplified_Johnson_Lewin",403,0.959851572503971,-8.68912085152217,-8.9595701062456
"simplified_Johnson_Lewin",406,0.904941650815783,-0.584417189533831,-0.854866444257265
"simplified_Johnson_Lewin",415,0.962896896967155,-8.38121097456503,-9.42241362842475
"simplified_Johnson_Lewin",418,0.952863566993392,-7.71877190835864,-8.75997456221837
"simplified_Johnson_Lewin",421,0.912896950561193,-8.67599391426031,-9.71719656812004
"simplified_Johnson_Lewin",483,0.800051075820661,10.6167867391947,8.6639763013652
"simplified_Johnson_Lewin",843,0.960366063932817,-17.4692030503598,-14.2739164022835
"simplified_Johnson_Lewin",844,0.947814743073399,-8.37783546421857,-5.18254881614228
"simplified_Johnson_Lewin",845,0.927976505932298,12.8329170467309,16.0282036948072
"simplified_Johnson_Lewin",846,0.881167967187125,27.0978622772741,30.2931489253504
"simplified_extended_Johnson_Lewin",26,0.301703224430187,23.7092515713358,22.4598083867041
"simplified_extended_Johnson_Lewin",29,0.694910763328588,13.8478998753539,14.3245491254329
"simplified_extended_Johnson_Lewin",146,0.9889673965403,-11.0580001076633,-11.3825392133314
"simplified_extended_Johnson_Lewin",148,0.972752683537958,7.06737102768712,7.54402027776613
"simplified_extended_Johnson_Lewin",304,0.982253141935469,-4.95766581586117,-7.30103834125656
"simplified_extended_Johnson_Lewin",305,0.960844373318799,3.82330075854101,2.57385757390935
"simplified_extended_Johnson_Lewin",344,0.5995169909724,2.64822099162817,3.83156845564548
"simplified_extended_Johnson_Lewin",483,0.981214198128903,0.791983789502167,-1.55138873589323
"simplified_extended_Johnson_Lewin",843,0.659168896793087,14.654615617319,18.4889595950106
"simplified_extended_Johnson_Lewin",846,0.540573620973594,48.0296101074769,51.8639540851685
"Sharpe-Schoolfield",3,0.682921911534256,-14.8068878454691,-12.6887921945108
"Sharpe-Schoolfield",4,0.995704246318383,-17.9377163762249,-18.3163453328377
"Sharpe-Schoolfield",26,0.278108224247701,25.9086378130101,24.4509540976065
